hexmap,abbr_usps,abbr_gpo,abbr_ap,abbr_short,abbr_long,name,fips,eta_region,geo_type,eta_region_name,eta_region_city,X,Y,cX,cY
usaETA,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,3,state,Region 3,Atlanta,278.012702,-180,278.012702,-200
usaETA,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,3,state,Region 3,Atlanta,295.33321,-190,278.012702,-200
usaETA,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,3,state,Region 3,Atlanta,295.33321,-210,278.012702,-200
usaETA,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,3,state,Region 3,Atlanta,278.012702,-220,278.012702,-200
usaETA,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,3,state,Region 3,Atlanta,260.692194,-210,278.012702,-200
usaETA,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,3,state,Region 3,Atlanta,260.692194,-190,278.012702,-200
usaETA,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,3,state,Region 3,Atlanta,278.012702,-180,278.012702,-200
usaETA,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,6,state,Region 6,San Francisco,35.5255888,0,35.52558884444444,-19.999999999999996
usaETA,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,6,state,Region 6,San Francisco,52.8460969,-10,35.52558884444444,-19.999999999999996
usaETA,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,6,state,Region 6,San Francisco,52.8460969,-30,35.52558884444444,-19.999999999999996
usaETA,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,6,state,Region 6,San Francisco,35.5255888,-40,35.52558884444444,-19.999999999999996
usaETA,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,6,state,Region 6,San Francisco,18.2050808,-30,35.52558884444444,-19.999999999999996
usaETA,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,6,state,Region 6,San Francisco,18.2050808,-10,35.52558884444444,-19.999999999999996
usaETA,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,6,state,Region 6,San Francisco,35.5255888,0,35.52558884444444,-19.999999999999996
usaETA,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,6,state,Region 6,San Francisco,139.448637,-180,139.44863700000002,-200
usaETA,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,6,state,Region 6,San Francisco,156.769145,-190,139.44863700000002,-200
usaETA,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,6,state,Region 6,San Francisco,156.769145,-210,139.44863700000002,-200
usaETA,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,6,state,Region 6,San Francisco,139.448637,-220,139.44863700000002,-200
usaETA,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,6,state,Region 6,San Francisco,122.128129,-210,139.44863700000002,-200
usaETA,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,6,state,Region 6,San Francisco,122.128129,-190,139.44863700000002,-200
usaETA,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,6,state,Region 6,San Francisco,139.448637,-180,139.44863700000002,-200
usaETA,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,4,state,Region 4,Dallas,226.051178,-150,226.051178,-169.99999999999997
usaETA,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,4,state,Region 4,Dallas,243.371686,-160,226.051178,-169.99999999999997
usaETA,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,4,state,Region 4,Dallas,243.371686,-180,226.051178,-169.99999999999997
usaETA,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,4,state,Region 4,Dallas,226.051178,-190,226.051178,-169.99999999999997
usaETA,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,4,state,Region 4,Dallas,208.73067,-180,226.051178,-169.99999999999997
usaETA,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,4,state,Region 4,Dallas,208.73067,-160,226.051178,-169.99999999999997
usaETA,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,4,state,Region 4,Dallas,226.051178,-150,226.051178,-169.99999999999997
usaETA,CA,Calif.,Calif.,Cal.,Calif.,California,06,6,state,Region 6,San Francisco,87.4871131,-150,87.4871130111111,-169.99999999999994
usaETA,CA,Calif.,Calif.,Cal.,Calif.,California,06,6,state,Region 6,San Francisco,104.807621,-160,87.4871130111111,-169.99999999999994
usaETA,CA,Calif.,Calif.,Cal.,Calif.,California,06,6,state,Region 6,San Francisco,104.807621,-180,87.4871130111111,-169.99999999999994
usaETA,CA,Calif.,Calif.,Cal.,Calif.,California,06,6,state,Region 6,San Francisco,87.4871131,-190,87.4871130111111,-169.99999999999994
usaETA,CA,Calif.,Calif.,Cal.,Calif.,California,06,6,state,Region 6,San Francisco,70.166605,-180,87.4871130111111,-169.99999999999994
usaETA,CA,Calif.,Calif.,Cal.,Calif.,California,06,6,state,Region 6,San Francisco,70.166605,-160,87.4871130111111,-169.99999999999994
usaETA,CA,Calif.,Calif.,Cal.,Calif.,California,06,6,state,Region 6,San Francisco,87.4871131,-150,87.4871130111111,-169.99999999999994
usaETA,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,4,state,Region 4,Dallas,139.448637,-120,139.44863700000002,-140
usaETA,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,4,state,Region 4,Dallas,156.769145,-130,139.44863700000002,-140
usaETA,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,4,state,Region 4,Dallas,156.769145,-150,139.44863700000002,-140
usaETA,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,4,state,Region 4,Dallas,139.448637,-160,139.44863700000002,-140
usaETA,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,4,state,Region 4,Dallas,122.128129,-150,139.44863700000002,-140
usaETA,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,4,state,Region 4,Dallas,122.128129,-130,139.44863700000002,-140
usaETA,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,4,state,Region 4,Dallas,139.448637,-120,139.44863700000002,-140
usaETA,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,1,state,Region 1,Boston,399.256258,-90,399.256258,-109.99999999999999
usaETA,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,1,state,Region 1,Boston,416.576766,-100,399.256258,-109.99999999999999
usaETA,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,1,state,Region 1,Boston,416.576766,-120,399.256258,-109.99999999999999
