hexmap,abbr_usps,abbr_gpo,abbr_ap,abbr_short,abbr_long,name,fips,geo_type,X,Y,cX,cY
usa52,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,state,278.012702,-180,278.012702,-200
usa52,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,state,295.33321,-190,278.012702,-200
usa52,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,state,295.33321,-210,278.012702,-200
usa52,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,state,278.012702,-220,278.012702,-200
usa52,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,state,260.692194,-210,278.012702,-200
usa52,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,state,260.692194,-190,278.012702,-200
usa52,AL,Ala.,Ala.,Ala.,Alab.,Alabama,01,state,278.012702,-180,278.012702,-200
usa52,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,state,35.5255888,0,35.52558884444444,-19.999999999999996
usa52,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,state,52.8460969,-10,35.52558884444444,-19.999999999999996
usa52,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,state,52.8460969,-30,35.52558884444444,-19.999999999999996
usa52,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,state,35.5255888,-40,35.52558884444444,-19.999999999999996
usa52,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,state,18.2050808,-30,35.52558884444444,-19.999999999999996
usa52,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,state,18.2050808,-10,35.52558884444444,-19.999999999999996
usa52,AK,Alaska,Alaska,Ak.,Alaska,Alaska,02,state,35.5255888,0,35.52558884444444,-19.999999999999996
usa52,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,state,139.448637,-180,139.44863700000002,-200
usa52,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,state,156.769145,-190,139.44863700000002,-200
usa52,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,state,156.769145,-210,139.44863700000002,-200
usa52,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,state,139.448637,-220,139.44863700000002,-200
usa52,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,state,122.128129,-210,139.44863700000002,-200
