long,lat,order,hole,piece,group,id,abb_gpo,name,type
278.012702,-180,1,FALSE,1,AL.1,AL,Ala.,Alabama,state
295.33321,-190,2,FALSE,1,AL.1,AL,Ala.,Alabama,state
295.33321,-210,3,FALSE,1,AL.1,AL,Ala.,Alabama,state
278.012702,-220,4,FALSE,1,AL.1,AL,Ala.,Alabama,state
260.692194,-210,5,FALSE,1,AL.1,AL,Ala.,Alabama,state
260.692194,-190,6,FALSE,1,AL.1,AL,Ala.,Alabama,state
278.012702,-180,7,FALSE,1,AL.1,AL,Ala.,Alabama,state
35.5255888,0,1,FALSE,1,AK.1,AK,Alaska,Alaska,state
52.8460969,-10,2,FALSE,1,AK.1,AK,Alaska,Alaska,state
52.8460969,-30,3,FALSE,1,AK.1,AK,Alaska,Alaska,state
35.5255888,-40,4,FALSE,1,AK.1,AK,Alaska,Alaska,state
18.2050808,-30,5,FALSE,1,AK.1,AK,Alaska,Alaska,state
18.2050808,-10,6,FALSE,1,AK.1,AK,Alaska,Alaska,state
35.5255888,0,7,FALSE,1,AK.1,AK,Alaska,Alaska,state
139.448637,-180,1,FALSE,1,AZ.1,AZ,Ariz.,Arizona,state
156.769145,-190,2,FALSE,1,AZ.1,AZ,Ariz.,Arizona,state
156.769145,-210,3,FALSE,1,AZ.1,AZ,Ariz.,Arizona,state
139.448637,-220,4,FALSE,1,AZ.1,AZ,Ariz.,Arizona,state
122.128129,-210,5,FALSE,1,AZ.1,AZ,Ariz.,Arizona,state
122.128129,-190,6,FALSE,1,AZ.1,AZ,Ariz.,Arizona,state
139.448637,-180,7,FALSE,1,AZ.1,AZ,Ariz.,Arizona,state
226.051178,-150,1,FALSE,1,AR.1,AR,Ark.,Arkansas,state
243.371686,-160,2,FALSE,1,AR.1,AR,Ark.,Arkansas,state
243.371686,-180,3,FALSE,1,AR.1,AR,Ark.,Arkansas,state
226.051178,-190,4,FALSE,1,AR.1,AR,Ark.,Arkansas,state
208.73067,-180,5,FALSE,1,AR.1,AR,Ark.,Arkansas,state
208.73067,-160,6,FALSE,1,AR.1,AR,Ark.,Arkansas,state
226.051178,-150,7,FALSE,1,AR.1,AR,Ark.,Arkansas,state
87.4871131,-150,1,FALSE,1,CA.1,CA,Calif.,California,state
104.807621,-160,2,FALSE,1,CA.1,CA,Calif.,California,state
104.807621,-180,3,FALSE,1,CA.1,CA,Calif.,California,state
87.4871131,-190,4,FALSE,1,CA.1,CA,Calif.,California,state
70.166605,-180,5,FALSE,1,CA.1,CA,Calif.,California,state
70.166605,-160,6,FALSE,1,CA.1,CA,Calif.,California,state
87.4871131,-150,7,FALSE,1,CA.1,CA,Calif.,California,state
139.448637,-120,1,FALSE,1,CO.1,CO,Colo.,Colorado,state
156.769145,-130,2,FALSE,1,CO.1,CO,Colo.,Colorado,state
156.769145,-150,3,FALSE,1,CO.1,CO,Colo.,Colorado,state
139.448637,-160,4,FALSE,1,CO.1,CO,Colo.,Colorado,state
122.128129,-150,5,FALSE,1,CO.1,CO,Colo.,Colorado,state
122.128129,-130,6,FALSE,1,CO.1,CO,Colo.,Colorado,state
139.448637,-120,7,FALSE,1,CO.1,CO,Colo.,Colorado,state
399.256258,-90,1,FALSE,1,CT.1,CT,Conn.,Connecticut,state
416.576766,-100,2,FALSE,1,CT.1,CT,Conn.,Connecticut,state
416.576766,-120,3,FALSE,1,CT.1,CT,Conn.,Connecticut,state
399.256258,-130,4,FALSE,1,CT.1,CT,Conn.,Connecticut,state
381.93575,-120,5,FALSE,1,CT.1,CT,Conn.,Connecticut,state
381.93575,-100,6,FALSE,1,CT.1,CT,Conn.,Connecticut,state
399.256258,-90,7,FALSE,1,CT.1,CT,Conn.,Connecticut,state
381.93575,-120,1,FALSE,1,DE.1,DE,Del.,Delaware,state
399.256258,-130,2,FALSE,1,DE.1,DE,Del.,Delaware,state
399.256258,-150,3,FALSE,1,DE.1,DE,Del.,Delaware,state
381.93575,-160,4,FALSE,1,DE.1,DE,Del.,Delaware,state
364.615242,-150,5,FALSE,1,DE.1,DE,Del.,Delaware,state
364.615242,-130,6,FALSE,1,DE.1,DE,Del.,Delaware,state
381.93575,-120,7,FALSE,1,DE.1,DE,Del.,Delaware,state
364.615242,-150,1,FALSE,1,DC.1,DC,D.C.,District of Columbia,federal district
381.93575,-160,2,FALSE,1,DC.1,DC,D.C.,District of Columbia,federal district
381.93575,-180,3,FALSE,1,DC.1,DC,D.C.,District of Columbia,federal district
364.615242,-190,4,FALSE,1,DC.1,DC,D.C.,District of Columbia,federal district
347.294734,-180,5,FALSE,1,DC.1,DC,D.C.,District of Columbia,federal district
347.294734,-160,6,FALSE,1,DC.1,DC,D.C.,District of Columbia,federal district
364.615242,-150,7,FALSE,1,DC.1,DC,D.C.,District of Columbia,federal district
295.33321,-210,1,FALSE,1,FL.1,FL,Fla.,Florida,state
312.653718,-220,2,FALSE,1,FL.1,FL,Fla.,Florida,state
312.653718,-240,3,FALSE,1,FL.1,FL,Fla.,Florida,state
295.33321,-250,4,FALSE,1,FL.1,FL,Fla.,Florida,state
278.012702,-240,5,FALSE,1,FL.1,FL,Fla.,Florida,state
278.012702,-220,6,FALSE,1,FL.1,FL,Fla.,Florida,state
