long,lat,group,order
70.166605,0,a,1
70.166605,-60,a,2
87.4871131,-70,a,3
87.4871131,-90,a,4
104.807621,-100,a,5
104.807621,-120,a,6
122.128129,-130,a,7
122.128129,-150,a,8
104.807621,-160,a,9
104.807621,-180,a,10
122.128129,-190,a,11
139.448637,-180,a,12
156.769145,-190,a,13
156.769145,-210,a,14
139.448637,-220,a,15
139.448637,-310,a,16
156.769145,-60,b,1
156.769145,-70,b,2
156.769145,-90,b,3
174.089653,-100,b,4
174.089653,-120,b,5
156.769145,-130,b,6
156.769145,-150,b,7
174.089653,-160,b,8
174.089653,-180,b,9
191.410162,-190,b,10
208.73067,-180,b,11
208.73067,-160,b,12
226.051178,-150,b,13
243.371686,-160,b,14
243.371686,-180,b,15
226.051178,-190,b,16
226.051178,-250,b,17
295.33321,-60,c,1
295.33321,-90,c,2
312.653718,-100,c,3
312.653718,-120,c,4
295.33321,-130,c,5
278.012702,-120,c,6
260.692194,-130,c,7
243.371686,-120,c,8
226.051178,-130,c,9
226.051178,-150,c,10
260.692194,-130,d,1
260.692194,-150,d,2
278.012702,-160,d,3
295.33321,-150,d,4
312.653718,-160,d,5
329.974226,-150,d,6
347.294734,-160,d,7
347.294734,-180,d,8
329.974226,-190,d,9
329.974226,-240,d,10
329.974226,-250,d,11
329.974226,0,e,1
329.974226,-70,e,2
329.974226,-90,e,3
347.294734,-100,e,4
347.294734,-120,e,5
364.615242,-130,e,6
381.93575,-120,e,7
399.256258,-130,e,8
399.256258,-150,e,9
381.93575,-160,e,10
381.93575,-180,e,11
381.93575,-240,e,12
364.615242,-250,e,13
364.615242,-280,e,14
